strategy,target,guessCount,duration,success
linear,1012,1012,0,TRUE
quadProb,1012,3001,0,FALSE
randSampling,2934,2819,2,TRUE
linear,2934,2934,1,TRUE
quadProb,2934,3001,0,FALSE
randSampling,2428,1283,1,TRUE
linear,2428,2428,0,TRUE
quadProb,2428,3001,0,FALSE
randSampling,2788,1676,1,TRUE
linear,2788,2788,3,TRUE
quadProb,2788,3001,0,FALSE
randSampling,2422,985,1,TRUE
linear,2422,2422,1,TRUE
quadProb,2422,3001,0,FALSE
randSampling,2324,1351,1,TRUE
linear,2324,2324,0,TRUE
quadProb,2324,3001,0,FALSE
randSampling,1346,833,1,TRUE
linear,1346,1346,3,TRUE
quadProb,1346,3001,0,FALSE
randSampling,807,1536,1,TRUE
linear,807,807,0,TRUE
quadProb,807,135,0,TRUE
randSampling,783,1193,1,TRUE
linear,783,783,2,TRUE
quadProb,783,3001,0,FALSE
randSampling,766,589,1,TRUE
linear,766,766,1,TRUE
quadProb,766,3001,0,FALSE
randSampling,541,92,1,TRUE
linear,541,541,0,TRUE
quadProb,541,3001,0,FALSE
randSampling,1462,1692,1,TRUE
linear,1462,1462,0,TRUE
quadProb,1462,3001,0,FALSE
randSampling,353,2768,2,TRUE
linear,353,353,1,TRUE
quadProb,353,3001,0,FALSE
randSampling,2299,2931,1,TRUE
linear,2299,2299,0,TRUE
quadProb,2299,3001,0,FALSE
randSampling,2148,1898,1,TRUE
linear,2148,2148,0,TRUE
quadProb,2148,3001,0,FALSE
randSampling,2612,1250,1,TRUE
linear,2612,2612,2,TRUE
quadProb,2612,3001,0,FALSE
randSampling,357,1870,1,TRUE
linear,357,357,1,TRUE
quadProb,357,3001,0,FALSE
randSampling,2084,927,1,TRUE
linear,2084,2084,0,TRUE
quadProb,2084,3001,0,FALSE
randSampling,1199,2840,1,TRUE
linear,1199,1199,0,TRUE
quadProb,1199,3001,0,FALSE
randSampling,38,2986,2,TRUE
linear,38,38,1,TRUE
quadProb,38,3001,0,FALSE
randSampling,2068,2884,2,TRUE
linear,2068,2068,1,TRUE
quadProb,2068,3001,0,FALSE
randSampling,1506,1051,1,TRUE
linear,1506,1506,1,TRUE
quadProb,1506,3001,0,FALSE
randSampling,483,2629,3,TRUE
linear,483,483,1,TRUE
quadProb,483,3001,0,FALSE
randSampling,114,1596,3,TRUE
linear,114,114,1,TRUE
quadProb,114,3001,0,FALSE
randSampling,788,2859,1,TRUE
linear,788,788,1,TRUE
quadProb,788,3001,0,FALSE
randSampling,1284,312,1,TRUE
linear,1284,1284,4,TRUE
quadProb,1284,3001,0,FALSE
randSampling,2071,2498,2,TRUE
linear,2071,2071,1,TRUE
quadProb,2071,3001,0,FALSE
randSampling,494,1182,2,TRUE
linear,494,494,3,TRUE
quadProb,494,68,3,TRUE
randSampling,2275,2890,2,TRUE
linear,2275,2275,2,TRUE
quadProb,2275,3001,0,FALSE
randSampling,2435,1316,3,TRUE
linear,2435,2435,2,TRUE
quadProb,2435,3001,0,FALSE
randSampling,1628,2445,1,TRUE
linear,1628,1628,2,TRUE
quadProb,1628,3001,0,FALSE
randSampling,2324,2432,2,TRUE
linear,2324,2324,8,TRUE
quadProb,2324,3001,0,FALSE
randSampling,2601,2805,2,TRUE
linear,2601,2601,2,TRUE
quadProb,2601,3001,0,FALSE
randSampling,107,2707,2,TRUE
linear,107,107,1,TRUE
quadProb,107,3001,0,FALSE
randSampling,695,2126,2,TRUE
linear,695,695,1,TRUE
quadProb,695,3001,0,FALSE
randSampling,1265,1015,2,TRUE
linear,1265,1265,4,TRUE
quadProb,1265,3001,0,FALSE
randSampling,1431,1141,1,TRUE
linear,1431,1431,1,TRUE
quadProb,1431,3001,0,FALSE
randSampling,1769,2007,1,TRUE
linear,1769,1769,1,TRUE
quadProb,1769,3001,0,FALSE
randSampling,1894,1638,2,TRUE
linear,1894,1894,1,TRUE
quadProb,1894,3001,0,FALSE
randSampling,1194,1456,1,TRUE
linear,1194,1194,1,TRUE
quadProb,1194,3001,0,FALSE
randSampling,507,2283,1,TRUE
linear,507,507,5,TRUE
quadProb,507,3001,0,FALSE
randSampling,772,1289,2,TRUE
linear,772,772,1,TRUE
quadProb,772,3001,0,FALSE
randSampling,1539,246,2,TRUE
linear,1539,1539,1,TRUE
quadProb,1539,3001,0,FALSE
randSampling,2412,561,1,TRUE
linear,2412,2412,0,TRUE
quadProb,2412,3001,0,FALSE
randSampling,680,1529,1,TRUE
linear,680,680,0,TRUE
quadProb,680,3001,0,FALSE
randSampling,88,2238,1,TRUE
linear,88,88,4,TRUE
quadProb,88,3001,0,FALSE
randSampling,2222,2982,1,TRUE
linear,2222,2222,0,TRUE
quadProb,2222,3001,0,FALSE
randSampling,2478,1196,1,TRUE
linear,2478,2478,0,TRUE
quadProb,2478,3001,0,FALSE
randSampling,32,2752,1,TRUE
linear,32,32,1,TRUE
quadProb,32,3001,0,FALSE
randSampling,2589,2392,1,TRUE
linear,2589,2589,0,TRUE
quadProb,2589,3001,0,FALSE
randSampling,681,2792,1,TRUE
linear,681,681,0,TRUE
quadProb,681,3001,0,FALSE
randSampling,1850,1790,1,TRUE
linear,1850,1850,0,TRUE
quadProb,1850,3001,0,FALSE
randSampling,1888,640,1,TRUE
linear,1888,1888,1,TRUE
quadProb,1888,3001,0,FALSE
randSampling,519,2563,1,TRUE
linear,519,519,1,TRUE
quadProb,519,3001,0,FALSE
randSampling,1640,1551,1,TRUE
linear,1640,1640,2,TRUE
quadProb,1640,3001,0,FALSE
randSampling,2361,1245,1,TRUE
linear,2361,2361,0,TRUE
quadProb,2361,3001,0,FALSE
randSampling,1677,83,1,TRUE
linear,1677,1677,0,TRUE
quadProb,1677,3001,0,FALSE
randSampling,941,43,1,TRUE
linear,941,941,1,TRUE
quadProb,941,3001,0,FALSE
randSampling,1150,319,1,TRUE
linear,1150,1150,0,TRUE
quadProb,1150,3001,0,FALSE
randSampling,666,2340,1,TRUE
linear,666,666,1,TRUE
quadProb,666,3001,0,FALSE
randSampling,1095,2500,1,TRUE
linear,1095,1095,0,TRUE
quadProb,1095,3001,0,FALSE
randSampling,1684,2308,1,TRUE
linear,1684,1684,1,TRUE
quadProb,1684,3001,0,FALSE
randSampling,676,2711,2,TRUE
linear,676,676,0,TRUE
quadProb,676,3001,0,FALSE
randSampling,1989,1267,1,TRUE
linear,1989,1989,1,TRUE
quadProb,1989,3001,0,FALSE
randSampling,1435,2278,1,TRUE
linear,1435,1435,0,TRUE
quadProb,1435,112,0,TRUE
randSampling,1891,2999,1,TRUE
linear,1891,1891,0,TRUE
quadProb,1891,3001,0,FALSE
randSampling,2287,2784,2,TRUE
linear,2287,2287,2,TRUE
quadProb,2287,3001,0,FALSE
randSampling,2549,1457,1,TRUE
linear,2549,2549,0,TRUE
quadProb,2549,3001,0,FALSE
randSampling,2531,225,1,TRUE
linear,2531,2531,2,TRUE
quadProb,2531,3001,0,FALSE
randSampling,1711,1999,1,TRUE
linear,1711,1711,0,TRUE
quadProb,1711,3001,0,FALSE
randSampling,1558,2320,1,TRUE
linear,1558,1558,0,TRUE
quadProb,1558,3001,0,FALSE
randSampling,1773,2617,1,TRUE
linear,1773,1773,2,TRUE
quadProb,1773,3001,0,FALSE
randSampling,2932,733,1,TRUE
linear,2932,2932,0,TRUE
quadProb,2932,3001,0,FALSE
randSampling,1650,1123,1,TRUE
linear,1650,1650,0,TRUE
quadProb,1650,3001,0,FALSE
randSampling,2868,29,2,TRUE
linear,2868,2868,0,TRUE
quadProb,2868,3001,0,FALSE
randSampling,528,2395,1,TRUE
linear,528,528,0,TRUE
quadProb,528,3001,0,FALSE
randSampling,335,726,1,TRUE
linear,335,335,0,TRUE
quadProb,335,3001,0,FALSE
randSampling,9,1372,1,TRUE
linear,9,9,1,TRUE
quadProb,9,3001,0,FALSE
randSampling,1656,2145,1,TRUE
linear,1656,1656,0,TRUE
quadProb,1656,3001,0,FALSE
randSampling,1410,2583,1,TRUE
linear,1410,1410,1,TRUE
quadProb,1410,3001,0,FALSE
randSampling,624,117,1,TRUE
linear,624,624,1,TRUE
quadProb,624,3001,0,FALSE
randSampling,1001,2570,1,TRUE
linear,1001,1001,1,TRUE
quadProb,1001,3001,0,FALSE
randSampling,55,1050,1,TRUE
linear,55,55,0,TRUE
quadProb,55,3001,0,FALSE
randSampling,127,1820,3,TRUE
linear,127,127,0,TRUE
quadProb,127,393,0,TRUE
randSampling,2616,1821,1,TRUE
linear,2616,2616,1,TRUE
quadProb,2616,3001,0,FALSE
randSampling,2985,2979,1,TRUE
linear,2985,2985,4,TRUE
quadProb,2985,3001,0,FALSE
randSampling,1575,433,1,TRUE
linear,1575,1575,0,TRUE
quadProb,1575,3001,0,FALSE
randSampling,2657,1998,1,TRUE
linear,2657,2657,0,TRUE
quadProb,2657,3001,0,FALSE
randSampling,2425,2842,2,TRUE
linear,2425,2425,0,TRUE
quadProb,2425,3001,0,FALSE
randSampling,1336,474,1,TRUE
linear,1336,1336,1,TRUE
quadProb,1336,3001,0,FALSE
randSampling,2577,1070,1,TRUE
linear,2577,2577,0,TRUE
quadProb,2577,3001,0,FALSE
randSampling,2209,1958,1,TRUE
linear,2209,2209,0,TRUE
quadProb,2209,3001,0,FALSE
randSampling,2217,560,1,TRUE
linear,2217,2217,1,TRUE
quadProb,2217,3001,0,FALSE
randSampling,745,1014,1,TRUE
linear,745,745,1,TRUE
quadProb,745,3001,0,FALSE
randSampling,1885,2109,1,TRUE
linear,1885,1885,1,TRUE
quadProb,1885,3001,0,FALSE
randSampling,2096,1227,1,TRUE
linear,2096,2096,0,TRUE
quadProb,2096,457,0,TRUE
randSampling,2043,47,1,TRUE
linear,2043,2043,1,TRUE
quadProb,2043,3001,0,FALSE
randSampling,455,1831,1,TRUE
linear,455,455,0,TRUE
quadProb,455,3001,0,FALSE
randSampling,1722,866,2,TRUE
linear,1722,1722,0,TRUE
quadProb,1722,3001,0,FALSE
randSampling,2019,165,1,TRUE
linear,2019,2019,0,TRUE
quadProb,2019,3001,0,FALSE
randSampling,2410,578,1,TRUE
linear,2410,2410,0,TRUE
quadProb,2410,91,0,TRUE
randSampling,618,1955,1,TRUE
linear,618,618,0,TRUE
quadProb,618,3001,0,FALSE
randSampling,637,873,2,TRUE
linear,637,637,1,TRUE
quadProb,637,3001,0,FALSE
randSampling,2534,16,1,TRUE
